web-scraper-order,web-scraper-start-url,festival_liste,festival_liste-href,Status,Datum,Datum_Plz_Ort_Addresse_Land,Title,Inhalt,Artist,Links,Links-href
"1591796682-3748","https://www.festivalplaner.de/festivals","Hexentanz","https://www.festivalplaner.de/festival/hexentanz","null","04.09. - 06.09.2020","04.09. - 06.09.2020 noch 86 Tage

                    66679 - Losheim am See

                    Stausee

                    Deutschland","Kontakt","Info-Hotline:  06824-7028720

                                                    Webseite

                            kontakt@rockimdorf.com","","Webseite","http://www.hexentanz-festival.de/"
"1591796934-4836","https://www.festivalplaner.de/festivals","Balaton Sound","https://www.festivalplaner.de/festival/balaton-sound","ABGESAGT","08.07. - 12.07.2020","08.07. - 12.07.2020 noch 28 Tage

                    8621 - Zamárdi

                    Plattensee (Balaton)

                    Ungarn","","","Hernan Cattaneo B2b Nick Warren","",""
"1591796690-3847","https://www.festivalplaner.de/festivals","Golden Leaves Festival","https://www.festivalplaner.de/festival/golden-leaves-festival","null","29.08. - 30.08.2020","29.08. - 30.08.2020 noch 80 Tage

                    64289 - Darmstadt

                    Schlosspark Kranichstein

                    Deutschland","Besucher","ca. 2.500","","null",""
"1591796529-3081","https://www.festivalplaner.de/festivals","Summerjam","https://www.festivalplaner.de/festival/summerjam","null","02.07. - 04.07.2021","02.07. - 04.07.2021 noch 387 Tage

                    50769 - Köln

                    Fühlinger See

                    Deutschland","","","Jahneration","",""
"1591796599-3405","https://www.festivalplaner.de/festivals","Orange Blossom Special","https://www.festivalplaner.de/festival/orange-blossom-special","null","21.05. - 23.05.2021","21.05. - 23.05.2021 noch 345 Tage

                    37688 - Beverungen

                    Festivalgelände:
Glitterhouse-Garten (Grüner Weg 25)

                    Deutschland","Camping","Am Weserufer","","null",""
"1591796529-3077","https://www.festivalplaner.de/festivals","Summerjam","https://www.festivalplaner.de/festival/summerjam","null","02.07. - 04.07.2021","02.07. - 04.07.2021 noch 387 Tage

                    50769 - Köln

                    Fühlinger See

                    Deutschland","","","Gentleman","",""
"1591797006-5097","https://www.festivalplaner.de/festivals","StöfenparkRock","https://www.festivalplaner.de/festival/stoefenparkrock","ABGESAGT","13.06.2020","13.06.2020 noch 3 Tage

                    25709 - Marne

                    Stöfenpark

                    Deutschland","","","Mindbender","",""
"1591796461-2827","https://www.festivalplaner.de/festivals","Open Flair","https://www.festivalplaner.de/festival/open-flair","null","11.08. - 15.08.2021","11.08. - 15.08.2021 noch 427 Tage

                    37269 - Eschwege

                    Auf dem Werdchen

                    Deutschland","","","Finch Asozial","",""
"1591796471-2907","https://www.festivalplaner.de/festivals","Bergfunk Open Air","https://www.festivalplaner.de/festival/bergfunk-open-air","null","06.08. - 07.08.2021","06.08. - 07.08.2021 noch 422 Tage

                    15711 - Königs Wusterhausen

                    Senderhaus 2

                    Deutschland","Besucher","ca. 1300","","null",""
"1591796932-4772","https://www.festivalplaner.de/festivals","Exit Festival","https://www.festivalplaner.de/festival/exit-festival","null","09.07. - 12.07.2020","09.07. - 12.07.2020 noch 29 Tage

                    21000 - Novi Sad

                    Festung Petrovaradin

                    Serbien/Montenegro","Besucher","ca. 300.000","","null",""
"1591796455-2758","https://www.festivalplaner.de/festivals","Taubertal Festival","https://www.festivalplaner.de/festival/taubertal-festival","null","12.08. - 15.08.2021","12.08. - 15.08.2021 noch 428 Tage

                    91541 - Rothenburg o.d. Tauberhat

                    Eiswiese

                    Deutschland","","","Nathan Gray","",""
"1591796636-3522","https://www.festivalplaner.de/festivals","iFAN MUSIK-FESTIVAL","https://www.festivalplaner.de/festival/ifan-musik-festival","null","26.09.2020","26.09.2020 noch 108 Tage

                    48153 - Münster

                    Skaters Palace

                    Deutschland","","","Guano Apes","",""
"1591796951-4875","https://www.festivalplaner.de/festivals","HeideWitzka","https://www.festivalplaner.de/festival/heidewitzka","null","02.07. - 05.07.2020","02.07. - 05.07.2020 noch 22 Tage

                    98646 - Hildburghausen

                    Lange Heide Hildburghausen

                    Deutschland","Camping","ja","","null",""
"1591796864-4499","https://www.festivalplaner.de/festivals","Rocken am Brocken","https://www.festivalplaner.de/festival/rocken-am-brocken-1","ABGESAGT","30.07. - 02.08.2020","30.07. - 02.08.2020 noch 50 Tage

                    38875 - Elend

                    Brocken

                    Deutschland","Besucher","ca. 5.000","","null",""
"1591796973-4953","https://www.festivalplaner.de/festivals","Full Force","https://www.festivalplaner.de/festival/full-force","ABGESAGT","26.06. - 28.06.2020","26.06. - 28.06.2020 noch 16 Tage

                    06773 - Gräfenhainichen

                    Ferropolis

                    Deutschland","","","Lingua Ignota","",""
"1591796809-4288","https://www.festivalplaner.de/festivals","Haldern Pop","https://www.festivalplaner.de/festival/haldern-pop","ABGESAGT","06.08. - 08.08.2020","06.08. - 08.08.2020 noch 57 Tage

                    46459 - Rees-Haldern (Niederrhein)

                    Reitwiese

                    Deutschland","Besucher","ca. 7.500","","null",""
"1591796529-3091","https://www.festivalplaner.de/festivals","Summerjam","https://www.festivalplaner.de/festival/summerjam","null","02.07. - 04.07.2021","02.07. - 04.07.2021 noch 387 Tage

                    50769 - Köln

                    Fühlinger See

                    Deutschland","","","Milky Chance","",""
"1591796973-4921","https://www.festivalplaner.de/festivals","Full Force","https://www.festivalplaner.de/festival/full-force","ABGESAGT","26.06. - 28.06.2020","26.06. - 28.06.2020 noch 16 Tage

                    06773 - Gräfenhainichen

                    Ferropolis

                    Deutschland","Kontakt","Info-Hotline:  +49 (0) 371 / 560 460

                                                    Webseite

                            info@withfullforce.de","","Webseite","http://www.withfullforce.de/"
"1591796646-3549","https://www.festivalplaner.de/festivals","OPR Festival","https://www.festivalplaner.de/festival/opr-festival","null","18.09. - 20.09.2020","18.09. - 20.09.2020 noch 100 Tage

                    16831 - Rheinsberg

                    Festplatte

                    Deutschland","","","VIVA 100% Deutschrock","",""
"1591796686-3798","https://www.festivalplaner.de/festivals","Panama Open Air","https://www.festivalplaner.de/festival/panama-open-air","VERLEGT","04.09. - 05.09.2020","04.09. - 05.09.2020 noch 86 Tage

                    53175 - Bonn

                    Rheinaue Park

                    Deutschland","","","Alle Farben","",""
"1591796584-3371","https://www.festivalplaner.de/festivals","Stoabeatz","https://www.festivalplaner.de/festival/stoabeatz","null","03.06. - 05.06.2021","03.06. - 05.06.2021 noch 358 Tage

                    6344 - Walchsee

                    Walchsee Südufer

                    Österreich","Kontakt","Info-Hotline:  +43 (0)664 2539735

                                                    Webseite

                            info@stoabeatz.at","","Webseite","http://www.stoabeatz.at/"
"1591796574-3352","https://www.festivalplaner.de/festivals","Punk In Drublic Hannover","https://www.festivalplaner.de/festival/punk-in-drublic-hannover","null","05.06.2021","05.06.2021 noch 360 Tage

                    30451 - Hannover

                    Faust Wiese (Open Air)

                    Deutschland","","","NOFX","",""
"1591796924-4710","https://www.festivalplaner.de/festivals","Electric Castle","https://www.festivalplaner.de/festival/electric-castle","null","15.07. - 19.07.2020","15.07. - 19.07.2020 noch 35 Tage

                    407105 - Cluj-Napoca

                    Banffy Castle

                    Rumänien","","","Monki","",""
"1591796930-4766","https://www.festivalplaner.de/festivals","Wireless","https://www.festivalplaner.de/festival/wireless","ABGESAGT","10.07. - 11.07.2020","10.07. - 11.07.2020 noch 30 Tage

                    60486 - Frankfurt am Main

                    Alter Rebstockpark

                    Deutschland","","","Summer Cem","",""
"1591797001-5081","https://www.festivalplaner.de/festivals","Limestone Festival","https://www.festivalplaner.de/festival/limestone-festival","ABGESAGT","13.06. - 14.06.2020","13.06. - 14.06.2020 noch 3 Tage

                    85368 - Moosburg

                    Moosburg

                    Deutschland","","","Post Malone","",""
"1591796928-4747","https://www.festivalplaner.de/festivals","Om Am See","https://www.festivalplaner.de/festival/om-am-see","null","10.07. - 12.07.2020","10.07. - 12.07.2020 noch 30 Tage

                    87629 - Füssen

                    Am Festspielhaus

                    Deutschland","","","MC Yogi","",""
"1591796749-4029","https://www.festivalplaner.de/festivals","Straf Werk Festival","https://www.festivalplaner.de/festival/straf-werk-festival","ABGESAGT","15.08.2020","15.08.2020 noch 66 Tage

                    1047 - Amsterdam

                    Havenpark

                    Niederlande","","","Colyn","",""
"1591796682-3758","https://www.festivalplaner.de/festivals","Hexentanz","https://www.festivalplaner.de/festival/hexentanz","null","04.09. - 06.09.2020","04.09. - 06.09.2020 noch 86 Tage

                    66679 - Losheim am See

                    Stausee

                    Deutschland","","","Letzte Instanz","",""
"1591796669-3656","https://www.festivalplaner.de/festivals","Impericon München","https://www.festivalplaner.de/festival/impericon-muenchen","null","06.09.2020","06.09.2020 noch 88 Tage

                    80639 - München

                    Zenith - Die Kulturhalle

                    Deutschland","Tickets","ab 67,90€                                       » Tickets kaufen","","» Tickets kaufen","https://www.impericon.com/de/impericon-festivals.html"
"1591796611-3430","https://www.festivalplaner.de/festivals","Camping Battleground","https://www.festivalplaner.de/festival/camping-battleground","null","13.05. - 16.05.2021","13.05. - 16.05.2021 noch 337 Tage

                    86732 - Oettingen

                    Festivalgelände Nittingen

                    Deutschland","","","Mr. Hurley & Die Pulveraffen","",""
"1591796719-3948","https://www.festivalplaner.de/festivals","Royal Arena","https://www.festivalplaner.de/festival/royal-arena","ABGESAGT","21.08. - 23.08.2020","21.08. - 23.08.2020 noch 72 Tage

                    CH-2552 - Orpund

                    Römerareal

                    Schweiz","","","Psycho'N'Odds","",""
"1591796492-2945","https://www.festivalplaner.de/festivals","Green Juice Festival","https://www.festivalplaner.de/festival/green-juice-festival","null","30.07. - 31.07.2021","30.07. - 31.07.2021 noch 415 Tage

                    53229 - Bonn

                    Park in Neu-Vilich

                    Deutschland","","","Massendefekt","",""
"1591796665-3629","https://www.festivalplaner.de/festivals","Holle Rock","https://www.festivalplaner.de/festival/holle-rock","null","11.09. - 12.09.2020","11.09. - 12.09.2020 noch 93 Tage

                    37235 - Hessisch Lichtenau

                    Ehemaliges Freibadgelände

                    Deutschland","","","Deadman's Redemption","",""
"1591796724-3962","https://www.festivalplaner.de/festivals","Obstwiesenfestival","https://www.festivalplaner.de/festival/obstwiesenfestival","null","20.08. - 22.08.2020","20.08. - 22.08.2020 noch 71 Tage

                    89160 - Dornstadt

                    Festivalgelände Lerchenberg

                    Deutschland","","","Kaiba","",""
"1591796529-3073","https://www.festivalplaner.de/festivals","Summerjam","https://www.festivalplaner.de/festival/summerjam","null","02.07. - 04.07.2021","02.07. - 04.07.2021 noch 387 Tage

                    50769 - Köln

                    Fühlinger See

                    Deutschland","","","Christopher Martin","",""
"1591796868-4526","https://www.festivalplaner.de/festivals","Appletree Garden","https://www.festivalplaner.de/festival/appletree-garden","AUSVERKAUFT","30.07. - 01.08.2020","30.07. - 01.08.2020 noch 50 Tage

                    49356 - Diepholz-Lüdersbusch

                    Bürgerpark-Lüderbusch

                    Deutschland","Camping","ja","","null",""
"1591796729-3987","https://www.festivalplaner.de/festivals","Baltic Open Air","https://www.festivalplaner.de/festival/baltic-open-air","ABGESAGT","20.08. - 22.08.2020","20.08. - 22.08.2020 noch 71 Tage

                    24884 - Busdorf

                    Am Königshügel - Wikingerland Haddeby

                    Deutschland","","","Mickie Krause","",""
"1591796556-3256","https://www.festivalplaner.de/festivals","Hurricane","https://www.festivalplaner.de/festival/hurricane","VERLEGT","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    27383 - Scheeßel

                    Eichenring

                    Deutschland","","","Deichkind","",""
"1591796930-4760","https://www.festivalplaner.de/festivals","Wireless","https://www.festivalplaner.de/festival/wireless","ABGESAGT","10.07. - 11.07.2020","10.07. - 11.07.2020 noch 30 Tage

                    60486 - Frankfurt am Main

                    Alter Rebstockpark

                    Deutschland","","","Meek Mill","",""
"1591796459-2805","https://www.festivalplaner.de/festivals","Rocco del Schlacko","https://www.festivalplaner.de/festival/rocco-del-schlacko","null","12.08. - 14.08.2021","12.08. - 14.08.2021 noch 428 Tage

                    66346 - Püttlingen-Köllerbach

                    Festivalgelände Herchenbach

                    Deutschland","","","Provinz","",""
"1591796864-4510","https://www.festivalplaner.de/festivals","Rocken am Brocken","https://www.festivalplaner.de/festival/rocken-am-brocken-1","ABGESAGT","30.07. - 02.08.2020","30.07. - 02.08.2020 noch 50 Tage

                    38875 - Elend

                    Brocken

                    Deutschland","","","Kummer","",""
"1591796459-2806","https://www.festivalplaner.de/festivals","Rocco del Schlacko","https://www.festivalplaner.de/festival/rocco-del-schlacko","null","12.08. - 14.08.2021","12.08. - 14.08.2021 noch 428 Tage

                    66346 - Püttlingen-Köllerbach

                    Festivalgelände Herchenbach

                    Deutschland","","","SDP","",""
"1591796835-4440","https://www.festivalplaner.de/festivals","Stars In Town – Das Festival","https://www.festivalplaner.de/festival/stars-in-town-das-festival","ABGESAGT","04.08. - 08.08.2020","04.08. - 08.08.2020 noch 55 Tage

                    8200 - Schaffhausen

                    Herrenacker

                    Schweiz","","","Loco Escrito","",""
"1591796973-4932","https://www.festivalplaner.de/festivals","Full Force","https://www.festivalplaner.de/festival/full-force","ABGESAGT","26.06. - 28.06.2020","26.06. - 28.06.2020 noch 16 Tage

                    06773 - Gräfenhainichen

                    Ferropolis

                    Deutschland","","","Creeper","",""
"1591796630-3486","https://www.festivalplaner.de/festivals","Sbäm Fest","https://www.festivalplaner.de/festival/sbaem-fest","null","31.10.2020","31.10.2020 noch 143 Tage

                    AT-4600 - Wels

                    Alter Schlachthof

                    Österreich","Besucher","ca. 700","","null",""
"1591796554-3205","https://www.festivalplaner.de/festivals","Southside","https://www.festivalplaner.de/festival/southside","VERLEGT","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    78579 - Neuhausen ob Eck

                    Gewerbepark ""Take Off""

                    Deutschland","","","Hot Milk","",""
"1591796773-4105","https://www.festivalplaner.de/festivals","Reload Festival","https://www.festivalplaner.de/festival/reload-festival","ABGESAGT","13.08. - 15.08.2020","13.08. - 15.08.2020 noch 64 Tage

                    27239 - Sulingen

                    Festivalgelände

                    Deutschland","","","Static-X","",""
"1591796696-3880","https://www.festivalplaner.de/festivals","Kapelle Somma","https://www.festivalplaner.de/festival/kapelle-somma","null","28.08.2020","28.08.2020 noch 79 Tage

                    59075 - Hamm

                    Kulturrevier Radbod, An den Fördertürmen 4

                    Deutschland","","","Go Go Gazelle","",""
"1591796686-3811","https://www.festivalplaner.de/festivals","Panama Open Air","https://www.festivalplaner.de/festival/panama-open-air","VERLEGT","04.09. - 05.09.2020","04.09. - 05.09.2020 noch 86 Tage

                    53175 - Bonn

                    Rheinaue Park

                    Deutschland","","","Meduza","",""
"1591796636-3521","https://www.festivalplaner.de/festivals","iFAN MUSIK-FESTIVAL","https://www.festivalplaner.de/festival/ifan-musik-festival","null","26.09.2020","26.09.2020 noch 108 Tage

                    48153 - Münster

                    Skaters Palace

                    Deutschland","","","Failure","",""
"1591796504-3001","https://www.festivalplaner.de/festivals","Zürich Open Air","https://www.festivalplaner.de/festival/zuerich-open-air","null","21.07. - 08.08.2021","21.07. - 08.08.2021 noch 406 Tage

                    8152 - Zürich

                    Flughofstrasse 21

                    Deutschland","Tickets","114 CHF                                       » Tickets kaufen","","» Tickets kaufen","http://zurichopenair.ch/"
"1591796434-2661","https://www.festivalplaner.de/festivals","Neuborn Open Air Festival","https://www.festivalplaner.de/festival/neuborn-open-air-festival","null","27.08. - 28.08.2021","27.08. - 28.08.2021 noch 443 Tage

                    55286 - Wörrstadt

                    Festivalgelände

                    Deutschland","Info-Hotline:","Info-Hotline:  +49 (0) 6732 601-0

                                                    Webseite","","Webseite","http://www.noaf.de/"
"1591796809-4298","https://www.festivalplaner.de/festivals","Haldern Pop","https://www.festivalplaner.de/festival/haldern-pop","ABGESAGT","06.08. - 08.08.2020","06.08. - 08.08.2020 noch 57 Tage

                    46459 - Rees-Haldern (Niederrhein)

                    Reitwiese

                    Deutschland","","","Crack Cloud","",""
"1591796991-5064","https://www.festivalplaner.de/festivals","Rock for People","https://www.festivalplaner.de/festival/rock-for-people","ABGESAGT","18.06. - 20.06.2020","18.06. - 20.06.2020 noch 8 Tage

                    50302 - Hradec Kralove

                    Airport

                    Tschechien","","","Sophie And The Giants","",""
"1591796790-4140","https://www.festivalplaner.de/festivals","Summer Breeze","https://www.festivalplaner.de/festival/summer-breeze","null","12.08. - 15.08.2020","12.08. - 15.08.2020 noch 63 Tage

                    91550 - Dinkelsbühl

                    Flugplatz Dinkelsbühl-Sinbronn

                    Deutschland","","","Architects","",""
"1591796554-3193","https://www.festivalplaner.de/festivals","Southside","https://www.festivalplaner.de/festival/southside","VERLEGT","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    78579 - Neuhausen ob Eck

                    Gewerbepark ""Take Off""

                    Deutschland","","","Sam Fender","",""
"1591796531-3114","https://www.festivalplaner.de/festivals","Bochum Total","https://www.festivalplaner.de/festival/bochum-total","null","01.07. - 04.07.2021","01.07. - 04.07.2021 noch 386 Tage

                    44787 - Bochum

                    Innenstadt

                    Deutschland","Kontakt","Webseite

                            presse@bochumtotal.de","","Webseite","http://www.bochumtotal.de/"
"1591796835-4444","https://www.festivalplaner.de/festivals","Stars In Town – Das Festival","https://www.festivalplaner.de/festival/stars-in-town-das-festival","ABGESAGT","04.08. - 08.08.2020","04.08. - 08.08.2020 noch 55 Tage

                    8200 - Schaffhausen

                    Herrenacker

                    Schweiz","","","Stefanie Heinzmann","",""
"1591796719-3943","https://www.festivalplaner.de/festivals","Royal Arena","https://www.festivalplaner.de/festival/royal-arena","ABGESAGT","21.08. - 23.08.2020","21.08. - 23.08.2020 noch 72 Tage

                    CH-2552 - Orpund

                    Römerareal

                    Schweiz","","","Black Moon","",""
"1591796556-3247","https://www.festivalplaner.de/festivals","Hurricane","https://www.festivalplaner.de/festival/hurricane","VERLEGT","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    27383 - Scheeßel

                    Eichenring

                    Deutschland","","","Bad Religion","",""
"1591796926-4736","https://www.festivalplaner.de/festivals","Fabville","https://www.festivalplaner.de/festival/fabville","ABGESAGT","15.07. - 17.07.2020","15.07. - 17.07.2020 noch 35 Tage

                    95469 - Speichersdorf

                    Festival Area Speichersdorf

                    Deutschland","","","Chril Levels","",""
"1591796551-3174","https://www.festivalplaner.de/festivals","Pinkpop","https://www.festivalplaner.de/festival/pinkpop","null","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    6372 - Landgraf

                    Megaland, Hofstraat 13

                    Niederlande","Camping","ja","","null",""
"1591796673-3719","https://www.festivalplaner.de/festivals","Groove Point","https://www.festivalplaner.de/festival/groove-point","null","05.09.2020","05.09.2020 noch 87 Tage

                    45475 - Mülheim an der Ruhr

                    Bolzplatz vom Springenden Punkt

                    Deutschland","Camping","nein","","null",""
"1591796932-4789","https://www.festivalplaner.de/festivals","Exit Festival","https://www.festivalplaner.de/festival/exit-festival","null","09.07. - 12.07.2020","09.07. - 12.07.2020 noch 29 Tage

                    21000 - Novi Sad

                    Festung Petrovaradin

                    Serbien/Montenegro","","","Hexis","",""
"1591796914-4659","https://www.festivalplaner.de/festivals","Melt! Festival","https://www.festivalplaner.de/festival/melt-festival","ABGESAGT","17.07. - 19.07.2020","17.07. - 19.07.2020 noch 37 Tage

                    06773 - Gräfenhainichen

                    Ferropolis

                    Deutschland","","","Paula Temple","",""
"1591796768-4059","https://www.festivalplaner.de/festivals","Wirefly Tech & Arts Festival","https://www.festivalplaner.de/festival/wirefly-tech-arts-festival","ABGESAGT","13.08. - 16.08.2020","13.08. - 16.08.2020 noch 64 Tage

                    22880 - Wedel

                    Strandbaddamm

                    Deutschland","Tickets","Standard: 700 Euro, Diversity: 1.050 Euro Student: 350 Euro","","null",""
"1591796828-4359","https://www.festivalplaner.de/festivals","Sziget","https://www.festivalplaner.de/festival/sziget","ABGESAGT","05.08. - 11.08.2020","05.08. - 11.08.2020 noch 56 Tage

                    1051 - Budapest

                    Obudai-Donauinsel

                    Ungarn","","","ATLiens","",""
"1591796688-3833","https://www.festivalplaner.de/festivals","Immergut Festival","https://www.festivalplaner.de/festival/immergut-festival","null","03.09. - 05.09.2020","03.09. - 05.09.2020 noch 85 Tage

                    17235 - Neustrelitz

                    Festivalgelände

                    Deutschland","","","Ilgen-Nur","",""
"1591796735-4005","https://www.festivalplaner.de/festivals","Xperience Festival","https://www.festivalplaner.de/festival/xperience-festival","null","19.08. - 23.08.2020","19.08. - 23.08.2020 noch 70 Tage

                    32805 - Horn Bad Meinberg

                    Yoga Vidya

                    Deutschland","","","David Lurey","",""
"1591796735-4014","https://www.festivalplaner.de/festivals","Xperience Festival","https://www.festivalplaner.de/festival/xperience-festival","null","19.08. - 23.08.2020","19.08. - 23.08.2020 noch 70 Tage

                    32805 - Horn Bad Meinberg

                    Yoga Vidya

                    Deutschland","","","Tanja Seehofer &  Yann Kuhlmamm","",""
"1591796847-4455","https://www.festivalplaner.de/festivals","Watt En Schlick","https://www.festivalplaner.de/festival/watt-en-schlick","ABGESAGT","31.07. - 02.08.2020","31.07. - 02.08.2020 noch 51 Tage

                    26316 - Varel

                    Kurhaus Dangast Strand

                    Deutschland","","","Coma","",""
"1591796545-3167","https://www.festivalplaner.de/festivals","Ab geht die Lutzi!","https://www.festivalplaner.de/festival/ab-geht-die-lutzi","null","24.06. - 26.06.2021","24.06. - 26.06.2021 noch 379 Tage

                    97714 - Rottershausen

                    Sportgelände Rottershausen

                    Deutschland","Kontakt","Webseite

                            undabgehts@dielutzi.de","","Webseite","http://www.dielutzi.de/"
"1591796978-5022","https://www.festivalplaner.de/festivals","Fortland","https://www.festivalplaner.de/festival/fortland","ABGESAGT","19.06. - 20.06.2020","19.06. - 20.06.2020 noch 9 Tage

                    74532 - Ilshofen

                    Arena Hohenlohe

                    Deutschland","","","Tempest","",""
